CLUBE;PONTOS ;TÍTULOS;GOLS_MARCADOS;ESTADO
Atlético Mineiro;84;2;67;Minas Gerais
Flamengo;71;8;69;Rio de Janeiro
Palmeiras;66;10;58;São Paulo
Fortaleza;58;0;44;Ceará
Corinthians;57;7;40;São Paulo
Bragantino;56;0;55;São Paulo
Fluminense;54;4;38;Rio de Janeiro
América - MG;53;0;41;Minas Gerais
Atlético - GO;53;0;33;Goias
Santos;50;8;35;São Paulo
Ceará;50;0;39;Ceará
Internacional;48;3;44;Rio Grande do Sul
São Paulo;48;6;39;São Paulo
Athletico - PR;47;1;41;Paraná
Cuiabá;47;0;34;Mato Grosso
Juventude;46;0;36;Rio Grande do Sul
Grêmio;43;2;44;Rio Grande do Sul
Bahia;43;2;42;Bahia
Sport Recife;38;1;24;Recife
Chapecoense;15;0;27;Santa Catarina
